Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Jorge Manuel Rodriguez Vazquez,"Rodriguez Vazquez,Jorge Manuel",4,,,,,,"Atizapán de Zaragoza, MX",2017 - 2019,2017,2019,6.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,6896763,2011.0,,,,,,,,,0.0,,,Mexicana
Jorge Romero,"Romero,Jorge",4,,,,,,"Naucalpan, MX",1987 - 2020,1987,2020,,Hombre,,,,,,,,,,,,,,,,,
Jorge Sotelo,"Sotelo,Jorge",4,,,,,,"Estado de México, MX",2013 - 2018,2013,2018,,Hombre,,,,,,,,,,,,,,,,,
Jose A De La Fuente,"La Fuente,Jose A De #",4,,,,,,"Lomas de Chapultepec, MX",2007 - 2013,2007,2013,,Hombre,,,,,,,,,,,,,,,,,
Jose Alberto Gastelum Moreno,"Gastelum Moreno,Jose Alberto",4,,,,,,"Apodaca, MX",2018 - 2023,2018,2023,,Hombre,,,,,,,,,,,,,,,,,
Jose Alvaro Barba Villanueva,"Barba Villanueva,Jose Alvaro",4,,,,,,"Jalisco, MX",2004 - 2009,2004,2009,0.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,4058476,2004.0,,,,,,,,,0.0,,,Mexicana
Jose Antonio Aguilar Mendez,"Aguilar Mendez,Jose Antonio",4,,,,,,"Veracruz, MX",2018 - 2020,2018,2020,,Hombre,,,,,,,,,,,,,,,,,
Jose Antonio Bivian Balanzario,"Bivian Balanzario,Jose Antonio",4,,,,,,"Querétaro, MX",2013 - 2013,2013,2013,,Hombre,,,,,,,,,,,,,,,,,
Jose Antonio Ortiz Niembro,"Ortiz Niembro,Jose Antonio",4,,,,,,"Puebla, MX",2009 - 2015,2009,2015,30.0,HOMBRE,LICENCIATURA COMO INGENIERO QUÍMICO,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,545801,1979.0,,,,,,,,,0.0,,,Mexicana
Jose Cordero,"Cordero,Jose",4,,,,,,"Xico, MX",1977 - 2018,1977,2018,,Hombre,,,,,,,,,,,,,,,,,
Jose Filiberto Escamilla Canedo,"De la Rosa Santamaria,Roberto",4,,,,,,"San Pedro Garza García, MX",2013 - 2019,2013,2019,10.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ADMINISTRADOR,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,3917296,2003.0,,,,,,,,,0.0,,,Mexicana
Jose Formoso,"Formoso,Jose",4,,,,,,"Xico, MX",2007 - 2007,2007,2007,,Hombre,,,,,,,,,,,,,,,,,
Jose Francisco Aguilar,"Francisco Aguilar,Jose",4,,,,,,"Querétaro, MX",2016 - 2023,2016,2023,,Hombre,,,,,,,,,,,,,,,,,
Jose G Delgado,"G Delgado,Jose",4,,,,,,"Coahuila, MX",2020 - 2022,2020,2022,,Hombre,,,,,,,,,,,,,,,,,
Jose Guadalupe Sanchez De La Rosa,"Sanchez De La Rosa,Jose Guadalupe",4,,,,,,"Naucalpan, MX",2023 - 2023,2023,2023,11.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ADMINISTRADOR,UNIVERSIDAD JOSÉ VASCONCELOS CALDERÓN,0.0,7443408,2012.0,,,,,,,,,0.0,,,Mexicana
Jose Luis Garcia Gutierrez,"Garcia Gutierrez,Jose Luis",4,,,,,,"Mexico City, MX",2018 - 2024,2018,2024,,Hombre,,,,,,,,,,,,,,,,,
Jose Luis Gutierrez Flores,"Gutierrez Flores,Jose Luis",4,,,,,,"Tijuana, MX",1999 - 2005,1999,2005,15.0,HOMBRE,LICENCIATURA COMO MÉDICO CIRUJANO Y PARTERO,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,946289,1984.0,,,,,,,,,0.0,,,Mexicana
Jose Maria Ribot Barroso,"Ribot Barroso,Jose Maria",4,,,,,,"Mexico City, MX",2018 - 2023,2018,2023,,Hombre,,,,,,,,,,,,,,,,,
Jose Mauricio Munoz Fuentes,"Munoz Fuentes,Jose Mauricio",4,,,,,,"Puebla, MX",2012 - 2018,2012,2018,,Hombre,,,,,,,,,,,,,,,,,
Jose Maurilio Rodriguez Mesa,"Rodriguez Mesa,Jose Maurilio",4,,,,,,"Rafael Delgado, MX",2014 - 2021,2014,2021,20.0,HOMBRE,LICENCIATURA COMO INGENIERO AGRÓNOMO ESP. EN FITOTECNIA,UNIVERSIDAD AUTÓNOMA CHAPINGO,1.0,1925426,1994.0,,,,,,,,,0.0,EXPOBERRIES S.A DE C.V,R&D,Mexicana
Jose Nicolas Juarez Espinoza,"Juarez Espinoza,Jose Nicolas",4,,,,,,"La Marquesa, MX",2020 - 2024,2020,2024,6.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,8864986,2014.0,,,,,,,,,0.0,,,Mexicana
Jose Represas De Almeida,"De Almeida,Jose Represas",4,,,,,,"Mexico City, MX",2003 - 2022,2003,2022,,Hombre,,,,,,,,,,,,,,,,,
Jose Roberto Frausto Rodriguez,"Frausto Rodriguez,Jose Roberto",4,,,,,,"Coahuila, MX",2020 - 2022,2020,2022,,Hombre,,,,,,,,,,,,,,,,,
Jose Tamez Pena,"Tamez Pena,Jose",4,,,,,,"San Pedro Garza García, MX",2004 - 2021,2004,2021,,Hombre,,,,,,,,,,,,,,,,,
Juan Daniel Gonzalez,"Daniel Gonzalez,Juan",4,,,,,,"Ramos Arizpe, MX",2004 - 2023,2004,2023,,Hombre,,,,,,,,,,,,,,,,,
Juan De Jesus,"De Jesus,Juan",4,,,,,,"Mexico City, MX",1994 - 2020,1994,2020,,Hombre,,,,,,,,,,,,,,,,,
Juan de la Cruz Clavel Lopez,"Clavel Lopez,Juan de la Cruz",4,,,,,,"Mexico City, MX",2016 - 2021,2016,2021,27.0,HOMBRE,LICENCIATURA EN INGENIERÍA PETROLERA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,1419767,1989.0,,,,,,,,,0.0,XPETRUS: Expertos en Tecnologías Petroleras y Energéticas S. A. de C. V.,ASESOR EXPERTO,Mexicana
Juan Gabriel Gonzalez Juarez,"Gonzalez Juarez,Juan Gabriel",4,,,,,,"Guadalupe, MX",2019 - 2020,2019,2020,14.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,1.0,4392775,2005.0,,,,,,,,,0.0,,,Mexicana
Juan Manuel Medina,"Manuel Medina,Juan",4,,,,,,"Tijuana, MX",1994 - 2020,1994,2020,,Hombre,,,,,,,,,,,,,,,,,
Juan Miguel Gonzalez,"Miguel Gonzalez,Juan",4,,,,,,"Reynosa, MX",2012 - 2014,2012,2014,,Hombre,,,,,,,,,,,,,,,,,
Juan Pablo Salgado,"Pablo Salgado,Juan",4,,,,,,"López Mateos, MX",2022 - 2023,2022,2023,,Hombre,,,,,,,,,,,,,,,,,
Julian Lopez Portillo,"Lopez Portillo,Julian",4,,,,,,"Mexico City, MX",2020 - 2023,2020,2023,,Hombre,,,,,,,,,,,,,,,,,
Julian Maldonado Valenzuela,"Maldonado Valenzuela,Julian",4,,,,,,"Tampico, MX",2017 - 2021,2017,2021,10.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO (I.T.R.),1.0,5185915,2007.0,,,,,,,,,0.0,,,Mexicana
Karla Janet Aranda Arzaluz,"Aranda Arzaluz,Karla Janet",4,,,,,,"Metepec, MX",2017 - 2017,2017,2017,4.0,MUJER,LICENCIATURA EN DISEÑO INDUSTRIAL,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,8201335,2013.0,,,,,,,,,0.0,,,Mexicana
Laura Sanchez,"Sanchez,Laura",4,,,,,,"Tijuana, MX",2014 - 2023,2014,2023,,Mujer,,,,,,,,,,,,,,,,,
Laureano Simon Buela,"Simon Buela,Laureano",4,,,,,,"Plan de Ayala, MX",2011 - 2023,2011,2023,,Hombre,,,,,,,,,,,,,,,,,
Leonardo Felipe Romo Morales,"Romo Morales,Leonardo Felipe",4,,,,,,"Jalisco, MX",2016 - 2019,2016,2019,,Hombre,,,,,,,,,,,,,,,,,
Leopoldo Urbina,"Urbina,Leopoldo",4,,,,,,"Santiago Yancuitlalpan, MX",2022 - 2024,2022,2024,,Hombre,,,,,,,,,,,,,,,,,
Lorenzo Martinez Gomez,"Martinez Gomez,Lorenzo",4,,,,,,"Ciudad del Carmen, MX",2015 - 2017,2015,2017,41.0,HOMBRE,LICENCIATURA EN FÍSICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,314006,1974.0,MAESTRÍA EN FÍSICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,618466,1980,DOCTORADO EN CIENCIAS (FÍSICA),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,6759392,2010,1.0,CORROSION Y PROTECCION,PRESIDENTE,Mexicana
Luis Adrian Tena Han,"Tena Han,Luis Adrian",4,,,,,,"Tlalnepantla, MX",2018 - 2020,2018,2020,4.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,8883106,2014.0,,,,,,,,,0.0,Ford Motor Company,CAD Engineer,Mexicana
Luis Alarcon,"Alarcon,Luis",4,,,,,,"Monterrey, MX",2020 - 2024,2020,2024,,Hombre,,,,,,,,,,,,,,,,,
Luis Alberto Garcia Luna,"Garcia Luna,Luis Alberto",4,,,,,,"Monterrey, MX",2018 - 2018,2018,2018,,Hombre,,,,,,,,,,,,,,,,,
Luis Carlos Castaneda Lopez,"de los Santos Campos,Cesar Alejandro",4,,,,,,"Mexico City, MX",2018 - 2018,2018,2018,31.0,HOMBRE,LICENCIATURA COMO INGENIERO INDUSTRIAL EN QUÍMICA,INSTITUTO TECNOLÓGICO DE CHIHUAHUA (I.T.R.),1.0,1209576,1987.0,MAESTRÍA EN CIENCIAS EN TECNOLOGÍA DEL PETRÓLEO Y PETROQUÍMICA,INSTITUTO TECNOLÓGICO DE CIUDAD MADERO (I.T.R.),3514666,2001,,,,,1.0,,,Mexicana
Luis Eduardo Herrera,"Eduardo Herrera,Luis",4,,,,,,"Mexicali, MX",2017 - 2021,2017,2021,,Hombre,,,,,,,,,,,,,,,,,
Luis Emilio Cruz Barba,"Emilio Cruz Barba,Luis",4,,,,,,"Guadalajara, MX",2006 - 2011,2006,2011,10.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,UNIVERSIDAD DE GUADALAJARA,1.0,2392433,1996.0,,,,,,,,,0.0,,,Mexicana
Luis Francisco Flores Ortiz,"Flores Ortiz,Luis Francisco",4,,,,,,"Mexico City, MX",2008 - 2014,2008,2014,,Hombre,,,,,,,,,,,,,,,,,
Luis Humberto Soni Gutierrez,"Soni Gutierrez,Luis Humberto",4,,,,,,"Mexico City, MX",2017 - 2020,2017,2020,10.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECATRÓNICA,UNIVERSIDAD PANAMERICANA ,0.0,5044639,2007.0,MAESTRÍA EN INGENIERÍA,UNIVERSIDAD PANAMERICANA,12984635,2022,,,,,1.0,,,Mexicana
Luis Manuel Quej Ake,"Quej Ake,Luis Manuel",4,,,,,,"Mexico City, MX",2016 - 2024,2016,2024,16.0,HOMBRE,LICENCIATURA EN INGENIERÍA QUÍMICA,INSTITUTO TECNOLÓGICO DE CAMPECHE (I.T.R.),1.0,3071777,2000.0,MAESTRÍA EN ELECTROQUÍMICA,CENTRO DE INVESTIGACIÓN Y DESARROLLO TECNOLÓGICO E,4436582,2005,DOCTORADO EN CIENCIAS EN METALURGIA Y MATERIALES,INSTITUTO POLITÉCNICO NACIONAL,8770348,2014,1.0,,,Mexicana
Luis Miguel Lopez Gonzalez,"Lopez Gonzalez,Luis Miguel",4,,,,,,"Mexico City, MX",2018 - 2018,2018,2018,,Hombre,,,,,,,,,,,,,,,,,
Luis Olmos Gonzalez,"Olmos Gonzalez,Luis",4,,,,,,"Tlalnepantla, MX",2019 - 2021,2019,2021,18.0,HOMBRE,LICENCIATURA EN INGENIERÍA MECÁNICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,3286169,2001.0,MAESTRÍA EN INGENIERÍA (INGENIERÍA ELÉCTRICA),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,3604696,2002,,,,,1.0,,,Mexicana
Luis Rafael Ibarra Robles,"Ibarra Robles,Luis Rafael",4,,,,,,"Jalisco, MX",1998 - 2000,1998,2000,,Hombre,,,,,,,,,,,,,,,,,
Luis Rodolfo Zamorano Morfin,"Zamorano Morfin,Luis Rodolfo",4,,,,,,"Suchiapa, MX",1998 - 2019,1998,2019,29.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,169397,1969.0,,,,,,,,,0.0,,,Mexicana
Luis Talavera,"Talavera,Luis",4,,,,,,"Mexico City, MX",1998 - 2001,1998,2001,,Hombre,,,,,,,,,,,,,,,,,
Magno Alcantara Talavera,"Alcantara Talavera,Magno",4,,,,,,"Mexico City, MX",2019 - 2022,2019,2022,12.0,HOMBRE,LICENCIATURA EN INGENIERO EN MECATRÓNICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,5245114,2007.0,,,,,,,,,0.0,,,Mexicana
Manlio Francisco Barajas Hernandez,"Barajas Hernandez,Manlio Francisco",4,,,,,,"Jalisco, MX",2017 - 2020,2017,2020,3.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS ELECTRÓNICOS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,8819658,2014.0,,,,,DOCTORADO EN TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,9386067,2015,1.0,,,Mexicana
Manuel Antonio Becerra Becerra,"Becerra Becerra,Manuel Antonio",4,,,,,,"Apodaca, MX",2017 - 2020,2017,2020,12.0,HOMBRE,LICENCIATURA COMO INGENIERO ELECTRICISTA,UNIVERSIDAD AUTÓNOMA DE ZACATECAS FRANCISCO GARCÍA,1.0,4655490,2005.0,,,,,,,,,0.0,,,Mexicana
Manuel Antonio Escamilla Hernandez,"Escamilla Hernandez,Manuel Antonio",4,,,,,,"Chihuahua, MX",2023 - 2023,2023,2023,10.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN MECATRÓNICA,UNIVERSIDAD AUTÓNOMA DE CIUDAD JUÁREZ,1.0,8378801,2013.0,MAESTRÍA EN ADMINISTRACIÓN,UNIVERSIDAD AUTÓNOMA DE CIUDAD JUÁREZ,11366614,2018,,,,,1.0,Strattec Security Corporation,Senior Product Engineer,Mexicana
Marco Ali Curti Espinosa,"Curti Espinosa,Marco Ali",4,,,,,,"Monterrey, MX",2020 - 2024,2020,2024,14.0,HOMBRE,LICENCIATURA EN DISEÑO INDUSTRIAL,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,1.0,4913713,2006.0,,,,,,,,,0.0,,,Mexicana
Marcos Moreno Pastor,"Moreno Pastor,Marcos",4,,,,,,"San Nicolás de los Garza, MX",2019 - 2023,2019,2023,9.0,HOMBRE,LICENCIATURA EN DISEÑO INDUSTRIAL,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,6427134,2010.0,,,,,,,,,0.0,,,Mexicana
Marcos Perez,"Perez,Marcos",4,,,,,,"Atizapán de Zaragoza, MX",2009 - 2023,2009,2023,,Hombre,,,,,,,,,,,,,,,,,
Maria del Rosario Socorro Luna Ramirez,"Luna Ramirez,Maria del Rosario Socorro",4,,,,,,"Mexico City, MX",2019 - 2021,2019,2021,,Mujer,,,,,,,,,,,,,,,,,
Maria Paloma Franco Urunuela,"Franco Urunuela,Maria Paloma",4,,,,,,"Guadalajara, MX",2019 - 2019,2019,2019,5.0,MUJER,LICENCIATURA EN INGENIERÍA BIOMÉDICA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,8539867,2014.0,,,,,,,,,0.0,,,Mexicana
Mario de Aguero Servin,"Aguero Servin,Mario de",4,,,,,,"Mexico City, MX",2001 - 2017,2001,2017,,Hombre,,,,,,,,,,,,,,,,,
Mario Lopez Ruiz,"Lopez Ruiz,Mario",4,,,,,,"Jalisco, MX",2015 - 2018,2015,2018,,Hombre,,,,,,,,,,,,,,,,,
Mario Lorenzana Saucedo,"Lorenzana Saucedo,Mario",4,,,,,,"Tlaquepaque, MX",2019 - 2024,2019,2024,,Hombre,,,,,,,,,,,,,,,,,
Mario Soberon Chavez,"Soberon Chavez,Mario",4,,,,,,"Cuernavaca, MX",2012 - 2020,2012,2020,28.0,HOMBRE,LICENCIATURA EN INVESTIGACIÓN BIOMÉDICA BÁSICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,884443,1984.0,MAESTRÍA EN INVESTIGACIÓN BIOMÉDICA BÁSICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1099329,1986,DOCTORADO EN INVESTIGACIÓN BIOMÉDICA BÁSICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1387186,1989,1.0,,,Mexicana
Mark Vargas Morelli Luna,"Morelli Luna,Mark Vargas",4,,,,,,"San Pablo Oztotepec, MX",2017 - 2019,2017,2019,2.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,9282628,2015.0,,,,,,,,,0.0,,,Mexicana
Marvin Karpa Feldman,"Karpa Feldman,Marvin",4,,,,,,"Cuauhtémoc, MX",1978 - 2000,1978,2000,,Hombre,,,,,,,,,,,,,,,,,
Merida Sotelo Lerma,"Sotelo Lerma,Merida",4,,,,,,"Hermosillo, MX",2005 - 2009,2005,2009,12.0,MUJER,LICENCIATURA COMO QUÍMICO BIÓLOGO,UNIVERSIDAD DE SONORA,1.0,1881370,1993.0,MAESTRÍA EN CIENCIAS (CIENCIA DE MATERIALES),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1934883,1994,,,,,1.0,,,Mexicana
Meytha Marsch Moreno,"Marsch Moreno,Meytha",4,,,,,,"Naucalpan, MX",2003 - 2008,2003,2008,27.0,MUJER,LICENCIATURA COMO INGENIERO BIOQUÍMICO,INSTITUTO POLITÉCNICO NACIONAL,1.0,391532,1976.0,,,,,,,,,0.0,,,Mexicana
Miguel Alvarez,"Alvarez,Miguel",4,,,,,,"San Miguel de Allende, MX",2014 - 2024,2014,2024,,Hombre,,,,,,,,,,,,,,,,,
Miguel Angel Gallegos,"de los Santos Campos,Cesar Alejandro",4,,,,,,"La Y Griega, MX",2012 - 2021,2012,2021,,Hombre,,,,,,,,,,,,,,,,,
Miguel Angel Hernandez,"Angel Hernandez,Miguel",4,27.0,Medical Invention Research Company,8,2,1,"Santiago Tuxtla, MX",1997 - 2020,1997,2020,,Hombre,,,,,,,,,,,,,,,,,
Miguel Angel Kiyama Rodriguez,"Angel Kiyama Rodriguez,Miguel",4,14.0,"Vidrio Plano de México, S.A. de C.V.",2,0,0,"Monterrey, MX",2011 - 2015,2011,2015,40.0,HOMBRE,LICENCIATURA COMO INGENIERO MECÁNICO ELECTRICISTA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,198846,1971.0,,,,,,,,,0.0,,,Mexicana
Miguel Angel Leal Cerda,"Leal Cerda,Miguel Angel",4,30.0,,0,0,0,"Garcia, MX",2020 - 2020,2020,2020,,Hombre,,,,,,,,,,,,,,,,,
Miguel Angel Silva Rubio,"Silva Rubio,Miguel Angel",4,18.0,"NOZALA, S.A.P.I. DE C.V.",2,0,0,"Xico, MX",2012 - 2018,2012,2018,-4.0,HOMBRE,LICENCIATURA EN DISEÑO INDUSTRIAL,UNIVERSIDAD NUEVO MUNDO,0.0,10156002,2016.0,,,,,,,,,0.0,,,Mexicana
Miguel Enrique Alvarado LICON,"Alvarado LICON,Miguel Enrique",4,0.0,QUIMICA AGRONOMICA DE MEXICO S. DE R.L. DE C.V.,0,0,0,"Chihuahua, MX",2020 - 2022,2020,2022,5.0,HOMBRE,LICENCIATURA COMO BIÓLOGO,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,1.0,9350347,2015.0,,,,,,,,,0.0,,,Mexicana
Miguel Mendez,"Mendez,Miguel",4,45.0,PLASTIBEC INC.,9,0,3,"Jalisco, MX",2006 - 2019,2006,2019,,Hombre,,,,,,,,,,,,,,,,,
Miguel Perez Luna,"Perez Luna,Miguel",4,23.0,Instituto Mexicano del Petróleo,19,0,0,"Mexico City, MX",2015 - 2021,2015,2021,42.0,HOMBRE,LICENCIATURA EN QUÍMICA,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,1.0,240351,1973.0,MAESTRÍA EN FISICOQUÍMICA (MÉTODOS Y METROLOGÍA),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,2525647,1997,,,,,1.0,,,Mexicana
Missael Bonifacio Romero Escobedo,"Romero Escobedo,Missael Bonifacio",4,35.0,"Driscoll's, Inc.",4,0,2,"Ciudad Guzmán, MX",2019 - 2020,2019,2020,8.0,HOMBRE,LICENCIATURA EN INGENIERÍA AGROINDUSTRIAL,UNIVERSIDAD AUTÓNOMA CHAPINGO,1.0,7135878,2011.0,,,,,,,,,0.0,,,Mexicana
Monica Montserrat Huerta Ruvalcaba,"Huerta Ruvalcaba,Monica Montserrat",4,52.0,IDE TECNOLOGIA S.A. DE C.V.,3,1,0,"Guadalajara, MX",2019 - 2019,2019,2019,,Mujer,,,,,,,,,,,,,,,,,
Natalya Victorovna Likhanova,"Victorovna Likhanova,Natalya",4,13.0,Instituto Mexicano del Petróleo,4,0,0,"Mexico City, MX",2013 - 2017,2013,2017,,Mujer,,,,,,,,,,,,,,,,,
Norma Icoquih Zapata Penasco,"Zapata Penasco,Norma Icoquih",4,9.0,Instituto Mexicano del Petróleo,13,2,0,"Mexico City, MX",2014 - 2019,2014,2019,14.0,MUJER,LICENCIATURA EN BIOLOGÍA,INSTITUTO POLITÉCNICO NACIONAL,1.0,3016972,2000.0,MAESTRÍA EN CIENCIAS QUIMICOBIOLÓGICAS,INSTITUTO POLITÉCNICO NACIONAL,6164777,2009,,,,,1.0,,,Mexicana
Omar Aguilar Macedo,"Aguilar Macedo,Omar",4,2.0,Hewlett Packard Enterprise Development LP,4,0,3,"Tlaquepaque, MX",2019 - 2023,2019,2023,9.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN COMPUTACIÓN,UNIVERSIDAD DE GUADALAJARA,1.0,6349845,2010.0,,,,,,,,,0.0,Wizeline,Software Engineer,Mexicana
Omar Garcia Lopez,"Garcia Lopez,Omar",4,3.0,"Flextronics AP, LLC",7,0,2,"Jalisco, MX",2012 - 2015,2012,2015,,Hombre,,,,,,,,,,,,,,,,,
Omar Mendoza Vera,"Mendoza Vera,Omar",4,13.0,"Ford Global Technologies, LLC",5,1,1,"Tlalnepantla, MX",2017 - 2019,2017,2019,2.0,HOMBRE,LICENCIATURA COMO INGENIERO EN AERONÁUTICA,INSTITUTO POLITÉCNICO NACIONAL,1.0,9012819,2015.0,,,,,,,,,0.0,Grammer AG,Product development engineer,Mexicana
Omar Rocha,"Rocha,Omar",4,40.0,Delphi Technologies,5,1,2,"Juarez, MX",2002 - 2004,2002,2004,,Hombre,,,,,,,,,,,,,,,,,
Oscar Eduardo Flores Pantoja,"Flores Pantoja,Oscar Eduardo",4,0.0,International Business Machines Corporation,5,0,0,"Zapopan, MX",2019 - 2023,2019,2023,,Hombre,,,,,,,,,,,,,,,,,
Oscar Gloria Bello,"Gloria Bello,Oscar",4,52.0,IDE TECNOLOGIA S.A. DE C.V.,3,2,0,"Guadalajara, MX",2019 - 2019,2019,2019,15.0,HOMBRE,LICENCIATURA COMO INGENIERO QUÍMICO,UNIVERSIDAD DE GUADALAJARA,1.0,4174258,2004.0,MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA,UNIVERSIDAD DE GUADALAJARA,5130720,2007,,,,,1.0,,,Mexicana
Oscar Omar Estrada,"Omar Estrada,Oscar",4,4.0,"INTEVA PRODUCTS, LLC",6,0,0,"Juarez, MX",2019 - 2022,2019,2022,11.0,HOMBRE,LICENCIATURA EN CIENCIAS QUÍMICAS,UNIVERSIDAD DE LA TARAHUMARA,1.0,8901246,2008.0,MAESTRÍA EN TECNOLOGÍA DEL PETRÓLEO Y PETROQUÍMICA,UNIVERSIDAD AUTÓNOMA DE QUERÉTARO,240,2014,,,,,1.0,,,Mexicana
Oscar Ponte Rivas,"Ponte Rivas,Oscar",4,0.0,"HAND HELD PRODUCTS, INC.",11,0,3,"Mexico City, MX",2023 - 2023,2023,2023,15.0,HOMBRE,LICENCIATURA EN DISEÑO INDUSTRIAL,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,5662411,2008.0,,,,,,,,,0.0,,,Mexicana
Oscar Rodriguez,"Rodriguez,Oscar",4,222.0,Vonage Business Inc.,16,0,3,"San Fernando, MX",1995 - 2024,1995,2024,,Hombre,,,,,,,,,,,,,,,,,
Pablo Gonzalez,"Gonzalez,Pablo",4,64.0,Federal Reserve Bank of Kansas City,9,0,3,"Jalisco, MX",2007 - 2020,2007,2020,,Hombre,,,,,,,,,,,,,,,,,
Pablo Isaac Villalva Sanchez,"Villalva Sanchez,Pablo Isaac",4,23.0,"Ford Global Technologies, LLC",10,0,2,"Mexico City, MX",2018 - 2022,2018,2022,3.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN SISTEMAS AUTOMOTRICES,INSTITUTO POLITÉCNICO NACIONAL,1.0,9356101,2015.0,,,,,,,,,0.0,Ford Motor Company,Cockpit and Trim Quality Engineer,Mexicana
