NOMBRE DEL INVESTIGADOR
"AALI BUJARI,ALI"
"LAMPREA GARZON,JORGE MARIO"
"LAMY ARCHAMBAULT,BRIGITTE"
"LAMY,BRIGITTE"
"LANCHIMBA VELASTEGUI,LIDIA SOFIA"
"LANCHO ROMERO,GUILLERMO ARTURO"
"LANDA AVILES,GUILLERMO"
"LANDA BECERRA,RICARDO"
"LANDA CANSIGNO,CRISTINA"
"LANDA DIAZ,HERI OSCAR"
"LANDA FONSECA,CECILIA DEL SOCORRO"
"LANDA JAIME,VICTOR"
"LANDA PIEDRA,ABRAHAM"
"SANDOVAL PINEDA,JUAN MANUEL"
"LANDA SOLIS,CARLOS"
"LANDASSURI MORENO,VICTOR MANUEL"
"LANDAVERDE TREJO,JORGE"
"LANDAZABAL MORA,MARCELA"
"LANDAZURI GOMEZ,GABRIEL"
"LANDERO FIGUEROA,JULIO ALBERTO"
"SERRANO HUERTA,DANIEL ARMANDO"
"LANDERO NAJERA,VANESA"
"LANDERO VALENZUELA,KENIA"
"LANDEROS CASILLAS,MARTHA ILEANA"
"LANDEROS FLORES,JERONIMO"
"LANDEROS JAIME,FIDEL"
"LANDEROS MARTINEZ,LINDA LUCILA LUCERO"
"LANDEROS MUGICA,KARINA"
"LANDEROS OLVERA,ERICK ALBERTO"
"LANDEROS RIVERA,BRUNO CHRISTIAN"
"LANDEROS SANCHEZ,CESAREO"
"LANDESMANN SEGALL,MONIQUE"
"LANDETA ESCAMILLA,CRISTINA"
"LANDIN SANDOVAL,VERONICA JANETH"
"LANDOIS PALENCIA,LUIS LEON"
"LANG,FIONA CONNELL"
"LANGARICA CORDOBA,DIEGO"
"LANGER GLAS,ANA MARIA"
"LANGLEY MC CARRON,ELIZABETH"
"LANGO REYNOSO,FABIOLA"
"LANGO REYNOSO,VERONICA"
"LANGSTON HAWKES,JOY KATHRYN"
"LANIADO LABORIN,RAFAEL"
"LANSINGH,VAN CHARLES"
"LANZ MENDOZA,CUAUHTEMOC JUAN HUMBERTO"
"LANZAGORTA GARCIA,JOSE IGNACIO"
"LAPA GUZMAN,JAVIER"
"LAPIDUS LAVINE,GRETCHEN TERRI"
"LAPIZCO ENCINAS,BLANCA HAZALIA"
"LAPOUJADE RAMAYON,MARIA NOEL"
"LAPPE OLIVERAS,PATRICIA ESTER"
"LARA ALABAZARES,DAVID"
"LARA ALMAZAN,NANCY"
"LARA ANDRADE,ISI VERONICA"
"OLVERA GARCIA,JORGE"
"LARA AVILA,JOSE PABLO"
"LARA AVILA,SAMUEL ALEJANDRO"
"LARA AYUB,JUAN ALEJANDRO"
"LARA BARRON,MANUEL MAURICIO"
"LARA CABRERA,SABINA IRENE"
"LARA CALDERA,VENECIA CITLALI"
"LARA CAPISTRAN,LILIANA"
"LARA CARRILLO,EDITH"
"LARA CASTILLEJOS,HAYDEE PATRICIA"
"LARA CASTRO,RENE HOMERO"
"LARA CENICEROS,ANA CLAUDIA"
"LARA CENICEROS,TANIA ERNESTINA"
"LARA CERON,JESUS ALFREDO"
"LARA CHACON,BARBARA"
"LARA CHAGOYAN,ROBERTO"
"LARA CHAVEZ,MA. BLANCA NIEVES"
"LARA CISNEROS,GERARDO"
"LARA CORTES,ESTRELLA"
"LARA DIAZ,NALLELI ELVIRA"
"LARA ENRIQUEZ,BLANCA ESTHELA"
"LARA ESCALANTE,MONICA MARIA"
"LARA ESPINOZA,CLAUDIA LIZETH"
"LARA FIGUEROA,HUGO NATHANAEL"
"LARA FIGUEROA,PALOMA"
"LARA GALICIA,ALINE PATRICIA"
"LARA GARCIA,OMAR DANIEL"
"LARA GOMEZ,GRACIELA"
"ROSAS GONZALEZ,SAMUEL"
"VAQUERA HUERTA,HUMBERTO"
"LARA GUZMAN,BRUNO"
"LARA HERNANDEZ,GEMIMA"
"LARA LARA,BAUDEL"
"LARA LEMUS,ANTONIO ROBERTO DE JESUS"
"LARA LIZARDI,FRIDA"
"LARA LOPEZ,MARITZA ARLENE"
"LARA LORENZO,ARIAGNA"
"LARREA MARQUEZ,PATRICIA"
"SARQUIZ MARTINEZ,BRENDA"
"LARA MAYORGA,ITZEL MONTSERRAT"
"LARA MILLAN,GLORIA"
"LARA MUNOZ,ERICA MARIA"
"VARGAS FRUTOS,MARIA DEL CARMEN ELIZABET"
"LARA MUSULE,ANTONIO"
"LARA NAVARRETE,ILEANA BEATRIZ"
"LARA NINO,CARLOS ANDRES"
"LARA NUNEZ,AURORA"
"LARA OCHOA,ISMAEL"
"LARA OCHOA,JOSE MANUEL FRANCISCO"
"LARA OVANDO,JUAN JOSE"
"LARA PACHECO,RAY FREDDY"
"LARA PADILLA,ELEAZAR"
"LARA PADILLA,MARTHA ISABEL"
"MADRIGAL PEREZ,LUIS ALBERTO"
"LARES VILLA,FERNANDO"
"LUNA SOLANO,MARIA ELIZABETH"
"LARA PONCE,ESTUARDO"
"LARA PRIETO,VIANNEY"
"MADRIGAL PULIDO,JAIME ALBERTO"
"LARA RAMIREZ,EDGAR EDUARDO"
"SALAZAR MONSALVE,LUIS FERNANDO"
"LARA REIMERS,EDUARDO ALBERTO"
"TAVARES MARTINEZ,RAFAEL ALEJANDRO"
"LARA REYNA,JOEL"
"LARA RIVERA,ANA LAURA"
"LARA RIVERA,ANTONIO HILARIO"
"LARA RIVERO,ARTURO ANGEL"
"VARGAS MEDRANO,JAVIER"
"LARA SAGAHON,ALMA VIRGINIA"
"LARA SEVERINO,REYNA DEL CARMEN"
"LARA UC,MARIA MONICA"
"LARA VILLANUEVA,ROSAMARY SELENE"
"LARA VILLEGAS,HUMBERTO GERMAN"
"RAMIREZ RUIZ,TOMAS FRANCISCO MARCELO"
"LARA Y BRETON,LUZ EMILIA"
"LARA ZAMUDIO,YAVETH ADRIANA"
"LARA ZAVALA,MARIA PIA"
"LARDIZABAL GUTIERREZ,DANIEL"
"LAREDO ALCALA,ELAN INAKY"
"LAREDO CISNEROS,MARCO SAMUEL"
"LAREDO SANCHEZ,GEORGINA CECILIA"
"LAREDO TISCARENO,STEPHANIE VIRIDIANA"
"LARENAS LINNEMANN,DESIREE ERLINDA SOPHIA"
"LARES ASSEFF,ISMAEL ANTONIO"
"LARES REYES,MARIA LUCILA DEL CARMEN"
"LARESGOITI SERVITJE,ESTIBALITZ"
"LARIA MENCHACA,JULIO"
"LARIAGON,RENAUD CHRISTOPHE ERIC"
"LARIOS CARDENAS,EUGENIO"
"LARIOS DENIZ,JONAS"
"LARIOS DIAZ,ANTONIO ENRIQUE"
"LARIOS DURAN,ERIKA ROXANA"
"LARIOS FERRER,JOSE LEONEL"
"LARIOS FORTE,FRANCISCO CARLOS"
"LARIOS GOMEZ,EMIGDIO"
"LARIOS JIMENEZ,FLOR ESMERALDA"
"LARIOS MARTINEZ,ARACELI DALILA"
"LARIOS OSORIO,VICTOR"
"LARIOS SANCHEZ,JOSE MAURO"
"LARIOS SERRATO,VIOLETA"
"LARIOS VELASCO,ROGELIO"
"LARIS GONZALEZ,ALMUDENA"
"LARQUE VELAZQUEZ,CARLOS ALFONSO"
"LARRACILLA SALAZAR,NEMESIS"
"LARRALDE CORONA,ADRIANA HELIA"
"LARRALDE CORONA,CLAUDIA PATRICIA"
"LARRALDE RANGEL,CARLOS"
"LARRALDE RIDAURA,HERNAN"
"LARRANAGA GONZALEZ,NEREA"
"LARRANAGA NUNEZ,ANA MARIA"
"LARRAURI TORROELLA,RAMON"
"LARREGUY ARBESU,HORACIO ALEJANDRO"
"LARRETA RAMIREZ,ELSA VERONICA"
"LARRINAGA MAYORAL,JUAN ANGEL"
"LARRION RIVEROLL,FRANCISCO"
"LARRIVA SAHD,JORGE ANTONIO"
"LARROSA FUENTES,JUAN SEBASTIAN"
"LARROSA HARO,ALFREDO"
"LARRUCEA GARRITZ,AMAYA"
"LARSEN,JOHN"
"LARSSON,MARTIN JESPER"
"LARTIGUE BECERRA,MARIA TERESA DE JESUS"
"LARTIGUE MENDOZA,JACQUES"
"LARTUNDO ROJAS,LUIS"
"LASA COVARRUBIAS,RODRIGO"
"LASCURAIN FERNANDEZ,CARLOS FELIPE"
"LASCURAIN FERNANDEZ,MAURICIO"
"LASCURAIN LEDESMA,RICARDO"
"LASCURAIN ORIVE,ANTONIO"
"LASCURAIN RANGEL,MAITE"
"LASHKEVYCH,IGOR"
"LASKAR LASKAR,SUJAY"
"LASO ORTIZ,ESTEBAN LEONARDO"
"LASSALA IRUESTE,ARANTZATZU LETICIA"
"LASTIRI HERNANDEZ,MARCOS ALFONSO"
"LASTIRI PANCARDO,GUSTAVO MOISES"
"LASTRA BARRIOS,ROSALIA SUSANA"
"LASTRA GARCIA,CLEMENTINA MERCED YOLANDA"
"LASTRA LASTRA,JOSE MANUEL"
"LASTRA MEDINA,GONZALO"
"LASTRA Y VILLAR Y GARCIA GOMEZ,CLEMENTINA MERCED"
"LOAEZA TOVAR,MARIA SOLEDAD"
"LASTRAS MARTINEZ,ALFONSO"
"MALDONADO DOMINGUEZ,CARLOS MAURICIO"
"LASTRES DANGUILLECOURT,ORLANDO"
"LASZLO JAGERHORN,ALEXANDER ROBERT"
"LATAPI ESCALANTE,PAULINA"
"LATAPI SARRE,PABLO"
"LATARGERE,JADE MARION MARGUERITE"
"LATORRE CARDENAS,MARIA CAMILA"
"LATORRE NAVARRO,MARIA FELISA"
"LATORRE RODRIGUEZ,PABLO"
"LATOURNERIE MORENO,LUIS"
"LAU JAIVEN,ANA"
"LAU NORIEGA,JESUS GUADALUPE"
"LAUDAN,LARRY LYNN"
"LAUNDRE VAN OSS,JOHN WILLIAM"
"LAURA GUARACHI,LEONARDO RAMIRO"
"LAURATI,MARCO"
"LAUREANO CRUCES,ANA LILIA CONCEPCION"
"LAURELL,ASA EBBA CHRISTINA"
"LAURENCIO MEZA,ROSSY LORENA"
"LAURENT PAVON,ANGELICA JOSEFINA"
"LAUTERIO CRUZ,JESUS PABLO"
"LAUTERIO MARTINEZ,CLAUDIA LORENA"
"LAVALLE GONZALEZ,FERNANDO JAVIER"
"SOUBERVIELLE MONTALVO,CARLOS"
"LAVANIEGOS ESPEJO,BERTHA EUGENIA"
"LAVARIEGA JARQUIN,JUAN CARLOS"
"LAVIADA MOLINA,HUGO ANTONIO"
"LAVIELLE SOTOMAYOR,MARIA DEL PILAR DEYANIRA"
"LAVIGNE,GILLES"
"LINARES SALGADO,JORGE ENRIQUE"
"LAVIN MURCIO,PABLO ANTONIO"
"LAVIN PEREGRINA,MIGUEL FERNANDO"
"LAVIN VERASTEGUI,JESUS"
"LAWTON,TIMOTHY FROST"
"LAY ARELLANO,ISRAEL TONATIUH"
"LAY TRIGO,SARAHI"
"LAYSECA ESPINOSA,ESTHER"
"LAYTON MOEBIUS,MICHAEL DENNIS"
"LAZALDE CRUZ,ROSALBA"
"LAZALDE MEDINA,BRISSIA"
"LAZALDE RAMOS,BLANCA PATRICIA"
"LAZAREVICH LAZAREVICH,IRINA"
"LAZAREVICH,IRINA"
"LAZARIN MIRANDA,FEDERICO"
"LAZARO DZUL,MARTHA OLIVIA"
"LAZARO LAZARO,EDILIO"
"LAZARO MIXTECO,PEDRO EDUARDO"
"NAVARRO MUNIZ,ELISEO"
"LAZARO SUAREZ,MARTHA LUCIA"
"LAZCANO ARAUJO,ANTONIO EUSEBIO"
"LAZCANO ARCE,JESUS CARLOS"
"LAZCANO DIAZ,ESTEFANIA"
"LAZCANO FERNANDEZ,ROMAN"
"LAZCANO HERNANDEZ,HUGO ENRIQUE"
"LAZCANO ORTIZ,ZORAYDA"
"LAZCANO PONCE,ALICIA OLGA"
"LAZCANO PONCE,EDUARDO CESAR"
"LAZCANO SALAS,SAUL"
"LAZCANO SANCHEZ,IVAN"
"LAZO BRIONES,PABLO FERNANDO"
"LAZO CORTES,MANUEL SABINO"
"LAZO DE LA VEGA MONROY,MARIA LUISA"
"LAZO ZAMALLOA,OXANA"
"LAZOS CHAVERO CHAVERO,ELENA"
"LAZOS OCHOA,EFRAIN"
"LAZOS RUIZ,ADI ESTELA"
"LAZZARINI LECHUGA,ROBERTO CARLOS"
"LAZZERI MENENDEZ,SANTOS GERARDO"
"LE BORGNE LE GALL,SYLVIE"
"LE CLERCQ ORTEGA,JUAN ANTONIO"
"LE CORRE,MATHIEU MICHEL"
"LE GUEN,OLIVIER"
"LE GUEN,OLIVIER MOISE PATRICK"
"LE MANH,TU"
"LE MUR,ROZENN PAULINE"
"LEAL ACOSTA,MARIA LUISA"
"LEAL ASCENCIO,RAUL RICARDO"
"LEAL BAUTISTA,ROSA MARIA"
"LEAL BELTRAN,EDUARDO"
"LEAL BLANCO,ANA ROSA"
"LEAL CABRERA,IRCE"
"LEAL CARRETERO,FERNANDO MIGUEL"
"LEAL CASTANEDA,EVERTH JIMENA"
"LEAL CHAVEZ,DANIEL ARTURO"
"LEAL CORONADO,MARIEL ADRIANA"
"LEAL CORTES,CARIDAD AUREA"
"LEAL CRUZ,ANA LILIA"
"LEAL ENRIQUEZ,ERIK"
"LEAL ESPINOZA,JOSE LUIS"
"LEAL GALICIA,PERLA XOCHITL"
"LEAL GRACIANO,JESUS MARTIN"
"LEAL HERRERA,YELDA AURORA"
"LEAL IGA,CARLOS"
"LEAL IGA,JAVIER"
"LEAL KLEVEZAS,DIANA SARA"
"TELLO MACIAS,CARLOS ALEJANDRO"
"LEAL LEON,EMIR ADOLFO"
"LEAL LEON,JESUS NICOMEDES"
"LEAL MARTINEZ,BALTAZAR HIRAM"
"REGALADO MENDEZ,ALEJANDRO"
"LEAL MOYA,IRMA LETICIA"
"LOPEZ DOMINGUEZ,JULIO CESAR"
"LEAL PEREZ,MYRIAM"
"LEAL QUEZADA,LUZ OLIVIA"
"LEAL RAMIREZ,CECILIA"
"LEAL RAMOS,MARTHA YARELY"
"LEAL SOLIS,IRENE"
"LEAL SORCIA,OLIVIA"
"LEAL UGARTE,EVELIA"
"LEAL VILLEGAS,PAULO HUMBERTO"
"LEAL Y FERNANDEZ,JUAN FELIPE"
"LEANDRO JIMENEZ,EDGAR"
"LEANOS MACIAS,JESUS"
"LEBOEUF PASQUIER,JEROME"
"LEBSKY,VLADIMIR"
"LEBSKY,VLADIMIR KONSTANTINOVICH"
"LECHUGA DEVEZE,CARLOS HERNANDO"
"LECHUGA EDUARDO,HARIM"
"LECHUGA MONTENEGRO,JOSE DE JESUS FRANCISCO"
"LECHUGA MORENO,EDGAR IVAN"
"LECHUGA NEVAREZ,MAYELA DEL RAYO"
"LECHUGA QUINONES,ANGELICA MARIA"
"LECHUGA SOLIS,MARTHA GRACIELA"
"LECO TOMAS,CASIMIRO"
"LECON ROSALES,MAURICIO"
"LECONA VALERA,ALBA NERI"
"MAGIS RODRIGUEZ,CARLOS LEONARDO"
"LEDENEVA,YULIA"
"LEDENEVA,YULIA NIKOLAEVNA"
"LEDER,RONALD STUART"
"LEDESMA ALONSO,RENE"
"LEDESMA AMAYA,LUIS ISRAEL"
"LEDESMA CARRILLO,LUIS MANUEL"
"LEDESMA DURAN,ALDO"
"LEDESMA ESCOBAR,CARLOS AUGUSTO"
"LEDESMA GARCIA,JANET"
"LEDESMA GOMEZ,RODRIGO DANIEL GUSTAVO"
"LEDESMA IBARRA,CARLOS ALFONSO"
"LEDESMA JUAREZ,ARELIS"
"LEDESMA MARTINEZ,EDGAR"
"LEDESMA MATEOS,ISMAEL"
"LEDESMA MIRAMONTES,ALEJANDRO"
"LEDESMA MONTES,CONSTANTINO"
"LEDESMA MOTOLINIA,MONICA"
"LEDESMA OROZCO,ELIAS RIGOBERTO"
"LEDESMA OROZCO,SERGIO EDUARDO"
"LEDESMA OSUNA,ANA IRENE"
"LEDESMA PEREZ,BRENDA VERONICA"
"LEDESMA RAMIREZ,LOURDES"
"LEDESMA SOTO,YADIRA"
"LEDESMA URIBE,JOSE DE JESUS"
"MELENDEZ ZAMUDIO,MIGUEL ANGEL"
"LEDEZMA DELGADILLO,ALEANA"
"LEDEZMA ELIZONDO,MARIA TERESA"
"LEDEZMA OROZCO,EDGAR MANUEL"
"LEDEZMA PEREZ,ANTONIO SERGUEI"
"LEDEZMA RODRIGUEZ,RAQUEL"
"LEDEZMA TEJEIDA,DANIELA ELIZABETH"
"LEDEZMA TORRES,JOSE DAVID"
"LEDEZMA VILLANUEVA,ALEJANDRO"
"MENDOZA MIRANDA,JUAN MANUEL"
"LEDON LLANES,LORAINE"
"LEDUC LEZAMA,LUIS ADOLFO"
"LEE ALARDIN,WILLIAM HENRY"
"LEE CRUZ,LARISA"
"LEE ESPINOSA,HILDA EULALIA"
"LEE KIM,HYUN SOOK"
"LEE MONTIEL,FELIPE TADEO"
"LEE RANGEL,HECTOR AARON"
"LEE RIVERA,IRENE"
"PERALES MEJIA,FELIPE DE JESUS"
"LEE WHITING,THOMAS ARVOL"
"LEE,ALISON ELIZABETH"
"LEENEN,IWEIN MARIA ROGER"
"LENERO OTERO,LUIS"
"LEETOY LOPEZ,SALVADOR"
"LEFEBVRE,KARINE ANNICK THERESE"
"LEFF GELMAN,FELIPE"
"LEFF ZIMMERMAN,HENRY DAN"
"LEFRANC WEEGAN,FEDERICO CESAR"
"LEGARDA SAENZ,RICARDO"
"LEGARIA SOLANO,JUAN PORFIRIO"
"LEGARRETA GONZALEZ,MARTIN ALFREDO"
"LEGLER,THOMAS FRIDOLIN"
"LEGORRETA DIAZ,MARIA DEL CARMEN"
"LEGORRETA GARCIA,FELIPE"
"LEGORRETA HAQUET,MARIA VICTORIA"
"LEGORRETA HERRERA,MARTHA"
"LEGORRETA PAULIN,GABRIEL"
"LEGORRETA SOBERANIS,JOSE"
"LEGORRETA ZEPEDA,JOSE DE JESUS"
"LEGRAND,DENIS XAVIER FRANCOIS"
"LEHMAN,MARIO MARCELO"
"LEHMANN FEITLER,PEDRO ALBERTO"
"LEHOUCQ CHICA,FABRICE EDOUARD"
"LEIBOWICZ,IVAN FEDERICO"
"LEIDENBERGER JOST,GEORG"
"LEIJA GUTIERREZ,HECTOR MANUEL"
"LEIJA LOREDO,EDGAR GREGORIO"
"MORENO MARTINEZ,NEHEMIAS"
"LEIJA MARTINEZ,PAOLA CATALINA"
"LEIJA MONTOYA,ANA GABRIELA"
"LEIJA ROMAN,DAVID ALONSO"
"LEIJA SALAS,ALFONSO"
"LEIJA TRISTAN,ANTONIO"
"LEINER DE LA CABADA,MARIE"
"LEIRANA ALCOCER,JORGE LEANDRO"
"LEIRANA ALCOCER,SILVIA CRISTINA"
"LEITAO DA CRUZ MORAIS,JOAO PEDRO"
"LEIVA MATEUS,JAIRO EDUARDO"
"LEKHT EVGUENIEVICH,EVGUENI"
"LELO DE LARREA MANCERA,ESTEBAN SEBASTIAN"
"LEMA LABADIE D ARCE,ROSA"
"LEMA LABADIE,JOSE"
"LEMAN,HELENE MADELEINE THERESE"
"LEMINI GUZMAN,CANDIDA MARIA CRISTINA"
"LEMINI LOPEZ,ALICIA"
"LEMOS ESPINAL,JULIO ALBERTO"
"LEMUS ALONSO,GILDARDO PABLO"
"LEMUS BARAHONA,LESLIE NOEMI"
"LEMUS BRAVO,ANA ELENA"
"LEMUS CARDENAS,LETICIA"
"LEMUS CASILLAS,RENATO"
"LEMUS DELGADO,DANIEL RICARDO"
"LEMUS FLORES,CLEMENTE"
"LEMUS JIMENEZ,ALICIA"
"LEMUS MINOR,CARLOS GERMAN"
"LEMUS OLALDE,CUAUHTEMOC"
"LEMUS POOL,MARIA CONSUELO"
"LEMUS RUIZ,JOSE"
"LEMUS SANDOVAL,LUIS ALONSO"
"LEMUS SANTANA,ANA ADELA"
"LEMUS SORIANO,ELMY GRISEL"
"LEMUS VIDAL,MONICA"
"LEMUZ LOPEZ,RAFAEL"
"LENDO FUENTES,ROSALBA"
"LENGELING KIMBERLEY,MARY MARTHA"
"LENTZ HERRERA,ALVARO EDUARDO"
"NEGRON SILVA,GUILLERMO ENRIQUE"
"LEON AGUILAR,LUIS FELIPE"
"LEON ALANIS,RICARDO"
"LEON ALVAREZ,ANGELICA MARENGLA"
"LEON ANDRADE,MARILU"
"LEON AVILA,GLORIA DE LA LUZ"
"LEON BALDERRAMA,JORGE INES"
"LEON BANUELOS,LUIS ALBERTO"
"LEON BARRIOS,GERARDO GUILLERMO"
"LEON BASTOS,CAROLINA"
"LEON BECERRIL,ELIZABETH"
"LEON BEJARANO,MARITZA FABIOLA"
"LEON BUITIMEA,ANGEL"
"LEON CABRERA,SONIA ANDREA"
"LEON CACHON,RAFAEL BALTAZAR REYES"
"LEON CANEDO,JESUS ARMANDO"
"LEON CARDENAL,EDWIN"
"LEON CARMONA,JORGE RAFAEL"
"LEON CASTRO,ERNESTO"
"LEON CAZARES,FILADELFO"
"LEON CHAN,RUBEN GERARDO"
"LEON CHAVEZ,BERTHA ALICIA"
"LEON CORONA,BENITO"
"LEON CORTES,JORGE LEONEL"
"MENDOZA DE LA CRUZ,JOSE LUIS"
"LEON DE LA ROSA,RAQUEL ISAMARA"
"LEON DENIZ,LORENA VIOLETA"
"LEON DIAZ,ROSALBA"
"LUNA DOMINGUEZ,JORGE HUMBERTO"
"MERINO JUAREZ,GUSTAVO ADOLFO"
"LEON DUARTE,JAIME ALFONSO"
"LEON ESCALANTE,SANTOS GUADALUPE"
"LEON ESPINOSA,ERIKA BERENICE"
"LEON ESPINOZA,EDGAR ALEJANDRO"
"LEON ESTRADA,XOCHITL DEL ALBA"
"LEON FELIX,JOSEFINA"
"LEON FERNANDEZ,ANDRES ELOY"
"LEON FUENTES,NELLY JOSEFA"
"LEON GALICIA,ISMAEL"
"LEON GALVAN,MA. FABIOLA"
"LEON GANATIOS,LUIS EDUARDO"
"LEON GARCIA,GLENDY JEZABEL"
"LEON Y GARCIA,GREGORIO JOSE"
"SAUCEDO GARNICA,BERNARDO"
"LEON GUTIERREZ,ADOLFO"
"MONTES HERNANDEZ,GERMAN"
"LEON HERNANDEZ,RODRIGO CESAR"
"LEON HERNANDEZ,VIRIDIANA AYDEE"
"PEREZ JIMENEZ,CAROLINA"
"LEON JUAREZ,MOISES"
"LEON KEMPIS,MARIA DEL ROCIO"
"LEON LEON,MARIA JOSEFINA"
"TOLEDO LOPEZ,ARCELIA"
"LEON LOPEZ,BRAULIO JESUS"
"LOPEZ LOPEZ,RAMON ARTURO"
"LUNA MALDONADO,ALEJANDRO ISABEL"
"LEON MALDONADO,LEITH SOLEDAD"
"LEON MARROQUIN,ELSA YAZMIN"
"LEON MARTINEZ,DIONICIA GLORIA"
"PEREZ MARTINEZ,RAMON MANUEL"
"LEON MATAMOROS,MARIA GRACIELA"
"LEON TEJERA,HILDA PATRICIA"
"LEON MERCADO,LUIS ABEL"
"LEON MERINO,AURELIO"
"LEON MIMILA,PAOLA VIRIDIANA"
"LEON MONTIEL,ROBERTO DE JESUS"
"LEON MONZON,ILDEFONSO"
"LEON MORALES,JANET MARIA"
"LEON O FARRILL,ISRAEL"
"LEON OLEA,MARTHA MARIA DE LA SALUD"
"LEON PANIAGUA,LIVIA SOCORRO"
"LEON PECH,MARIA GEOVANA"
"SERRANO PEREZ-GROVAS,ALFONSO"
"LEON PIMENTEL,CESAR IVAN"
"LEON Y PORTILLA,MIGUEL LUIS"
"LEON POZO,ALICIA"
"LEON RAMIREZ,CLAUDIA GERALDINE"
"LEON REAL MENDEZ,NORA MARISA"
"LEON REGAGNON,VIRGINIA"
"LEON REYES,GUADALUPE"
"LEON RIVERA,ISMAEL"
"LEON RODRIGUEZ,BLANCA SELENIA"
"LEON RODRIGUEZ,EUCARIO"
"LEON ROJAS,DANIELA"
"LEON ROMERO,YATZIL"
"LEON ROVIRA,NOEL"
"VALENZUELA SALAZAR,CARLOS"
"LEON SALGUERO,EDGARDO URIEL"
"LEON SANTIESTEBAN,MARTIN"
"LEON SARABIA,ELEAZAR"
"LEON SICAIROS,CLAUDIA DEL ROSARIO"
"LEON SICAIROS,NIDIA MARIBEL"
"LEON SILVA,ULISES"
"LEON SOLIS,LIZBEL ESPERANZA"
"LEON SOTO,GERARDO"
"LEON TAVARES,JONATHAN FRANCISCO"
"LOPEZ VALENZUELA,JOSE ANGEL"
"LEON VALIENTE,XAIRO"
"LEON VARGAS,HERMES"
"LEON VAZQUEZ,JORGE ALBERTO"
"LEON VEGA,CIRILO GABINO"
"LEON VEGA,EMMA"
"LEON VELASCO,DIANA ASSAELY"
"LEON VELASCO,HUMBERTO"
"LEON VILLALOBOS,JOSE MARIA"
"LEON VITE,ELDA LETICIA"
"LEON ZERMENO,MARIA DE JESUS"
"LEONEL GOMEZ,ROCIO"
"LEOPARDI VERDE,CARLOS LUIS"
"LEOS ESCOBEDO,LUCIO"
"LEOS RIVAS,CATALINA"
"QUINTANA RODRIGUEZ,JUAN ANTONIO"
"LEPE ALDAMA,OSCAR IVAN"
"LEPE LIRA,LUZ MARIA"
"LOPEZ GARCIA,RICARDO DANIEL"
"LEPIZ ILDEFONSO,ROGELIO"
"LEPRO CHAVEZ,XAVIER NORBERTO"
"LERA MEJIA,JORGE ALFREDO"
"LERICHE VAZQUEZ,MARIANA"
"LERIN PINON,SERGIO"
"LERMA ARAGON,JESUS RAMON"
"LERMA HERNANDEZ,SERGIO ADRIAN"
"LERMA NORIEGA,CLAUDIA ALICIA"
"LERMA RODRIGUEZ,FELIX ALEJANDRO"
"LERMA TALAMANTES,ABEL"
"LERMAN ALPERSTEIN,AIDA"
"LERMAN GARBER,ISRAEL"
"LERMO SAMANIEGO,JAVIER FRANCISCO"
"LERNER SIGAL,BERTHA"
"LERNER Y SIGAL,SUSANA"
"LERNER SIGAL,VICTORIA"
"LERNER,AMY"
"LERNER,AMY MICHELLE"
"LEROY ALLAERT,JEF"
"LEROY-BELTRAN,CATHERINE MARIE JEANNE"
"LESCANO ALLENDE,LUIS GUILLERMO"
"LESHER GORDILLO,JULIA MARIA"
"LESSER CARRILLO,LUIS ERNESTO"
"LESZCZYNSKA-BORYS KOWALCZYK,HELENA"
"LETECHIPIA VALLEJO,GRACIELA MARIA"
"LEURA VICENCIO,ADRIANA KARINA"
"LEVARIO CARRILLO,MARGARITA"
"LEVASHKIN,SERGEI PAVLOVICH"
"LEVERKUS FIERRO,ALEXANDRO BITOL"
"LEVIN ROJO,DANNA ALEXANDRA"
"LEVIN,VALERIY"
"LEVINE,VALERI MIKAIL"
"LEVINE LEITER,ELAINE"
"LEVRESSE TUSCH,GILLES PIERRE RENE"
"LEVY BRZEZINSKA,PAULETTE"
"LEVY ORLIK,NOEMI ORNAH"
"LEVY TACHER,SAMUEL ISRAEL"
"LEVYSTONE,DAVID XAVIER"
"LEWIN FISCHER,PEDRO ERNESTO"
"LEWIS BUTTERFIELD,DAVID BRUCE"
"NAVEDA CHAVEZ,ADRIANA"
"LEY COOPER,ALAN YUSEN"
"LEY DE COSS,ALEJANDRO"
"LEY FUENTES,MARTHA GEORGINA"
"ZUBIETA GARCIA,JUDITH"
"LEY GUTIERREZ,SANDRA JESSICA"
"LEY KOO,EUGENIO"
"LEY KOO,MARCOS"
"LEY LOPEZ,NANCY"
"LEY QUINONEZ,CESAR PAUL"
"LEYBON IBARRA,JAIME"
"LEYEQUIEN ABARCA,EURIDICE"
"LEYGUE,CAROLINE MARGUERITE"
"LEYTE LUGO,MARTHA ADRIANA"
"LEYTE MANRIQUE,ADRIAN"
"LEYTE MORALES,GERARDO ESTEBAN"
"LEYVA AGUILERA,JUANA CLAUDIA"
"LEYVA ALVIZO,ADOLFO"
"LEYVA BONILLA,JUAN FRANCISCO"
"LEYVA CAMACHO,OSVALDO"
"LEYVA CARRERAS,ALMA BRENDA"
"LEYVA CASTELLANOS,HORACIO"
"VILLEGAS CONTRERAS,ARMANDO"
"LEYVA CORDERO,OSWALDO"
"LEYVA CORONA,JOSE CLEMENTE"
"VILLELA MARTINEZ,DIANA ELIZABETH"
